Enrollment,Name,2025-03-22,Attendance,2025-04-03,2025-12-13
-10133319,[],0.0,50%,0.0,0.0
1,[],1.0,100%,0.0,0.0
23,[],1.0,50%,0.0,0.0
45,['aprichit' 'aprichit'],1.0,50%,0.0,0.0
58,[],1.0,50%,0.0,0.0
87,['sir' 'sir'],1.0,50%,0.0,0.0
111,[],0.0,50%,0.0,0.0
111,[],1.0,50%,0.0,0.0
112,[],1.0,50%,0.0,0.0
123,['Chand' 'Chand'],1.0,50%,0.0,0.0
333,[],1.0,50%,0.0,0.0
489,['mali' 'mali'],1.0,50%,0.0,0.0
567,[],0.0,50%,0.0,0.0
789,['aparichit' 'aparichit'],1.0,50%,0.0,0.0
67676,[],1.0,50%,0.0,0.0
113132,[],1.0,50%,0.0,0.0
123456,[],1.0,50%,0.0,0.0
454545,['edr' 'edr'],0.0,50%,0.0,0.0
454545,edr,0.0,0,1.0,0.0
464564,[],0.0,50%,0.0,0.0
464564,[],1.0,50%,0.0,0.0
645656,[],0.0,50%,0.0,0.0
13435435,[],0.0,50%,0.0,0.0
111561151,[],1.0,50%,0.0,0.0
123456789,[],1.0,50%,0.0,0.0
220801074,[],0.0,50%,0.0,0.0
230801240,Raj ,0.0,0,0.0,1.0
230801347,Keval,0.0,0,0.0,1.0
230801347,[],1.0,50%,0.0,0.0
454645464,[],1.0,50%,0.0,0.0
465466465,[],0.0,50%,0.0,0.0
1651951919,[],1.0,50%,0.0,0.0
